STN 0 ,STN 1/4,STN 1/2,STN 3/4,STN 1,STN 1 1/2,STN 2,STN 2 1/2,STN 3,STN 3 1/2 ,STN 4,STN 5,STN 6,STN 6 1/2,STN 7,STN 7 1/2,STN 8,STN 8 1/2,STN 9,STN 9 1/4,STN 9 1/2,STN 9 3/4,STN 10 
"(0,0)","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"(0,0.5846)","0.11,0.5846","0.33,0.5846","0.55,0.5846","0.99,0.5846","2.09,0.5846","3.63,0.5846","5.39,0.5846","7.26,0.5846","8.8,0.5846","9.68,0.5846","10.23,0.5846","10.12,0.5846","9.46,0.5846","8.36,0.5846","6.49,0.5846","4.51,0.5846","3.08,0.5846","2.2,0.5846","0.77,0.5846","0.11,0.5846","0,0.5846","0,0.5846"
"(0,1.1692)","0.11,1.1692","0.55,1.1692","0.99,1.1692","1.54,1.1692","2.97,1.1692","4.73,1.1692","6.6,1.1692","8.47,1.1692","9.79,1.1692","10.45,1.1692","10.67,1.1692","10.78,1.1692","10.23,1.1692","9.13,1.1692","7.59,1.1692","5.72,1.1692","4.07,1.1692","2.75,1.1692","1.43,1.1692","0.55,1.1692","0,1.1692","0,1.1692"
"0,1.753","0.11,1.753","0.66,1.753","1.21,1.753","1.98,1.753","3.63,1.753","5.5,1.753","7.48,1.753","9.24,1.753","10.23,1.753","10.67,1.753","10.89,1.753","11,1.753","10.67,1.753","9.79,1.753","8.25,1.753","6.49,1.753","4.62,1.753","3.19,1.753","1.76,1.753","0.77,1.753","0.11,1.753","0,1.753"
"0,2.92","0.22,2.92","0.99,2.92","1.87,2.92","2.75,2.92","4.84,2.92","6.93,2.92","8.8,2.92","10.12,2.92","10.67,2.92","11,2.92","11,2.92","11,2.92","11,2.92","10.34,2.92","9.02,2.92","7.37,2.92","5.5,2.92","3.63,2.92","2.31,2.92","1.32,2.92","0.33,2.92","0,2.92"
"0,4.092","0.33,4.092","1.32,4.092","2.53,4.092","3.63,4.092","6.05,4.092","8.03,4.092","9.68,4.092","10.56,4.092","11,4.092","11,4.092","11,4.092","11,4.092","11,4.092","10.67,4.092","9.57,4.092","7.92,4.092","5.94,4.092","3.74,4.092","2.64,4.092","1.54,4.092","0.55,4.092","0,4.092"
"0,5.261","0.55,5.261","2.09,5.261","3.41,5.261","4.73,5.261","7.15,5.261","8.91,5.261","10.12,5.261","10.78,5.261","11,5.261","11,5.261","11,5.261","11,5.261","11,5.261","10.89,5.261","10.01,5.261","8.47,5.261","6.38,5.261","3.85,5.261","2.97,5.261","1.76,5.261","0.77,5.261","0,5.261"
"0.11,6.43","1.76,6.43","3.3,6.43","4.62,6.43","6.05,6.43","8.03,6.43","9.68,6.43","10.56,6.43","11,6.43","11,6.43","11,6.43","11,6.43","11,6.43","11,6.43","11,6.43","10.34,6.43","8.8,6.43","6.71,6.43","4.18,6.43","3.19,6.43","1.98,6.43","0.99,6.43","0,6.43"
"1.76,7.6","3.3,7.6","4.62,7.6","6.05,7.6","7.15,7.6","9.02,7.6","10.12,7.6","10.67,7.6","11,7.6","11,7.6","11,7.6","11,7.6","11,7.6","11,7.6","11,7.6","10.45,7.6","9.02,7.6","7.04,7.6","4.4,7.6","3.52,7.6","2.31,7.6","1.21,7.6","0,7.6"
"2.97,8.76","4.51,8.76","5.72,8.76","6.93,8.76","7.92,8.76","9.559,8.76","10.45,8.76","10.89,8.76","11,8.76","11,8.76","11,8.76","11,8.76","11,8.76","11,8.76","11,8.76","10.56,8.76","9.24,8.76","7.37,8.76","4.95,8.76","3.85,8.76","2.64,8.76","1.43,8.76","0.33,8.76"
"3.74,9.93","5.28,9.93","6.49,9.93","7.7,9.93","8.58,9.93","9.9,9.93","10.67,9.93","11,9.93","11,9.93","11,9.93","11,9.93","11,9.93","11,9.93","11,9.93","11,9.93","10.67,9.93","9.46,9.93","7.7,9.93","5.5,9.93","4.18,9.93","2.97,9.93","1.76,9.93","0.66,9.93"
,,,,,,,,,,,,,,,,,,,,,,
