"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"0,0.4769","0.168,0.4769","0.546,0.4769","1.176,0.4769","1.848,0.4769","3.612,0.4769","5.46,0.4769","6.804,0.4769","7.644,0.4769","7.98,0.4769","8.064,0.4769","8.148,0.4769","8.148,0.4769","8.148,0.4769","8.064,0.4769","8.022,0.4769","7.98,0.4769","7.056,0.4769","5.376,0.4769","4.2,0.4769","2.688,0.4769","1.092,0.4769","0,0.4769"
"0,0.9538","0.168,0.9538","0.84,0.9538","1.596,0.9538","2.52,0.9538","4.368,0.9538","6.048,0.9538","7.308,0.9538","7.98,0.9538","8.232,0.9538","8.316,0.9538","8.358,0.9538","8.4,0.9538","8.4,0.9538","8.4,0.9538","8.4,0.9538","8.23,0.9538","7.476,0.9538","5.964,0.9538","4.704,0.9538","3.276,0.9538","1.596,0.9538","0,0.9538"
"0,1.4307","0.168,1.4307","1.008,1.4307","1.932,1.4307","2.94,1.4307","4.872,1.4307","6.464,1.4307","7.644,1.4307","8.148,1.4307","8.4,1.4307","8.4,1.4307","8.4,1.4307","8.4,1.4307","8.4,1.4307","8.4,1.4307","8.4,1.4307","8.316,1.4307","7.728,1.4307","6.216,1.4307","5.04,1.4307","3.528,1.4307","1.932,1.4307","0,1.4307"
"0,2.3846","0.21,2.3846","1.344,2.3846","2.604,2.3846","3.78,2.3846","5.796,2.3846","7.14,2.3846","7.98,2.3846","8.316,2.3846","8.4,2.3846","8.4,2.3846","8.4,2.3846","8.4,2.3846","8.4,2.3846","8.4,2.3846","8.4,2.3846","8.4,2.3846","7.938,2.3846","6.594,2.3846","5.418,2.3846","3.948,2.3846","2.184,2.3846","0.252,2.3846"
"0,3.3384","0.504,3.3384","1.848,3.3384","3.276,3.3384","4.452,3.3384","6.384,3.3384","7.56,3.3384","8.232,3.3384","8.4,3.3384","8.4,3.3384","8.4,3.3384","8.4,3.3384","8.4,3.3384","8.4,3.3384","8.4,3.3384","8.4,3.3384","8.4,3.3384","7.98,3.3384","6.636,3.3384","5.46,3.3384","3.99,3.3384","2.184,3.3384","0.084,3.3384"
"0,4.2923","1.428,4.2923","2.856,4.2923","4.116,4.2923","5.208,4.2923","6.888,4.2923","7.812,4.2923","8.316,4.2923","8.4,4.2923","8.4,4.2923","8.4,4.2923","8.4,4.2923","8.4,4.2923","8.4,4.2923","8.4,4.2923","8.4,4.2923","8.4,4.2923","7.98,4.2923","6.72,4.2923","5.544,4.2923","4.032,4.2923","2.1,4.2923","0,4.2923"
"1.68,5.2461","2.94,5.2461","4.116,5.2461","5.04,5.208","5.964,5.2461","7.308,5.2461","8.064,5.2461","8.4,5.2461","8.4,5.2461","8.4,5.2461","8.4,5.2461","8.4,5.2461","8.4,5.2461","8.4,5.2461","8.4,5.2461","8.4,5.2461","8.4,5.2461","8.064,5.2461","6.804,5.2461","5.712,5.2461","4.2,5.2461","2.268,5.2461","0,5.2461"
"2.688,6.2","3.948,6.2","4.956,6.2","5.88,6.2","6.636,6.2","7.644,6.2","8.148,6.2","8.4,6.2","8.4,6.2","8.4,6.2","8.4,6.2","8.4,6.2","8.4,6.2","8.4,6.2","8.4,6.2","8.4,6.2","8.4,6.2","8.148,6.2","7.056,6.2","6.09,6.2","4.62,6.2","2.604,6.2","0,6.2"
"3.276,7.1538","4.536,7.1538","5.544,7.1538","6.384,7.1538","7.14,7.1538","7.98,7.1538","8.232,7.1538","8.4,7.1538","8.4,7.1538","8.4,7.1538","8.4,7.1538","8.4,7.1538","8.4,7.1538","8.4,7.1538","8.4,7.1538","8.4,7.1538","8.4,7.1538","8.316,7.1538","7.476,7.1538","6.468,7.1538","5.04,7.1538","2.94,7.1538","0.168,7.1538"
"3.78,8.1076","4.956,8.1076","5.964,8.1076","6.888,8.1076","7.56,8.1076","8.148,8.1076","8.316,8.1076","8.4,8.1076","8.4,8.1076","8.4,8.1076","8.4,8.1076","8.4,8.1076","8.4,8.1076","8.4,8.1076","8.4,8.1076","8.4,8.1076","8.4,8.1076","8.4,8.1076","7.812,8.1076","6.972,8.1076","5.628,8.1076","3.528,8.1076","0.54,8.1076"
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
